step 0: train loss 8.7256, val loss 8.7217
iter 1090: loss 1.0227, loss_a 1.0227, loss_b nan, time 1315.87ms, mfu 8.42%
iter 1100: loss 1.0276, loss_a 1.0276, loss_b nan, time 1313.53ms, mfu 8.45%
iter 1110: loss 0.9635, loss_a 0.9635, loss_b nan, time 1315.44ms, mfu 8.48%
iter 1120: loss 0.9800, loss_a 0.9800, loss_b nan, time 1315.79ms, mfu 8.50%
iter 1130: loss 1.0318, loss_a 1.0318, loss_b nan, time 1314.40ms, mfu 8.53%
iter 1140: loss 0.9859, loss_a 0.9859, loss_b nan, time 1315.12ms, mfu 8.55%
iter 1150: loss 0.9701, loss_a 0.9701, loss_b nan, time 1317.23ms, mfu 8.57%
iter 1160: loss 1.0467, loss_a 1.0467, loss_b nan, time 1314.21ms, mfu 8.59%
iter 1170: loss 1.0027, loss_a 1.0027, loss_b nan, time 1313.08ms, mfu 8.60%
iter 1180: loss 1.0553, loss_a 1.0553, loss_b nan, time 1316.27ms, mfu 8.62%
iter 1190: loss 0.9159, loss_a 0.9159, loss_b nan, time 1313.85ms, mfu 8.63%
iter 1200: loss 1.0145, loss_a 1.0145, loss_b nan, time 1314.20ms, mfu 8.64%
iter 1210: loss 0.9449, loss_a 0.9449, loss_b nan, time 1314.03ms, mfu 8.65%
iter 1220: loss 1.0615, loss_a 1.0615, loss_b nan, time 1313.39ms, mfu 8.66%
iter 1230: loss 1.0187, loss_a 1.0187, loss_b nan, time 1314.58ms, mfu 8.67%
iter 1240: loss 1.0317, loss_a 1.0317, loss_b nan, time 1314.24ms, mfu 8.68%
iter 1250: loss 0.9850, loss_a 0.9850, loss_b nan, time 1314.94ms, mfu 8.69%
iter 1260: loss 1.0195, loss_a 1.0195, loss_b nan, time 1320.45ms, mfu 8.69%
iter 1270: loss 0.9951, loss_a 0.9951, loss_b nan, time 1314.69ms, mfu 8.69%
iter 1280: loss 0.9611, loss_a 0.9611, loss_b nan, time 1314.50ms, mfu 8.70%
iter 1290: loss 0.9743, loss_a 0.9743, loss_b nan, time 1314.09ms, mfu 8.71%
iter 1300: loss 0.9184, loss_a 0.9184, loss_b nan, time 1313.54ms, mfu 8.71%
iter 1310: loss 0.9559, loss_a 0.9559, loss_b nan, time 1313.25ms, mfu 8.71%
iter 1320: loss 0.9146, loss_a 0.9146, loss_b nan, time 1314.04ms, mfu 8.72%
iter 1330: loss 0.9687, loss_a 0.9687, loss_b nan, time 1313.94ms, mfu 8.72%
iter 1340: loss 0.9357, loss_a 0.9357, loss_b nan, time 1314.97ms, mfu 8.72%
iter 1350: loss 0.9604, loss_a 0.9604, loss_b nan, time 1320.60ms, mfu 8.72%
iter 1360: loss 0.9367, loss_a 0.9367, loss_b nan, time 1314.68ms, mfu 8.73%
iter 1370: loss 0.9597, loss_a 0.9597, loss_b nan, time 1314.44ms, mfu 8.73%
iter 1380: loss 0.9054, loss_a 0.9054, loss_b nan, time 1314.66ms, mfu 8.73%
iter 1390: loss 0.9649, loss_a 0.9649, loss_b nan, time 1315.31ms, mfu 8.73%
iter 1400: loss 0.9991, loss_a 0.9991, loss_b nan, time 1313.32ms, mfu 8.73%
iter 1410: loss 0.9626, loss_a 0.9626, loss_b nan, time 1314.58ms, mfu 8.73%
iter 1420: loss 0.9784, loss_a 0.9784, loss_b nan, time 1315.57ms, mfu 8.74%
iter 1430: loss 0.9171, loss_a 0.9171, loss_b nan, time 1315.46ms, mfu 8.74%
iter 1440: loss 0.9637, loss_a 0.9637, loss_b nan, time 1315.49ms, mfu 8.74%
iter 1450: loss 0.9135, loss_a 0.9135, loss_b nan, time 1313.55ms, mfu 8.74%
iter 1460: loss 0.9733, loss_a 0.9733, loss_b nan, time 1314.79ms, mfu 8.74%
iter 1470: loss 0.9040, loss_a 0.9040, loss_b nan, time 1313.53ms, mfu 8.74%
iter 1480: loss 0.9853, loss_a 0.9853, loss_b nan, time 1313.86ms, mfu 8.74%
iter 1490: loss 0.9749, loss_a 0.9749, loss_b nan, time 1323.79ms, mfu 8.74%
step 1500: train loss 0.9487, val loss 0.9798
saving checkpoint to out-enwik8-char-sparse
iter 1500: loss 0.9424, loss_a 0.9424, loss_b nan, time 45741.21ms, mfu 7.89%
iter 1510: loss 0.8928, loss_a 0.8928, loss_b nan, time 1314.19ms, mfu 7.97%
iter 1520: loss 0.9858, loss_a 0.9858, loss_b nan, time 1313.90ms, mfu 8.05%
iter 1530: loss 0.9850, loss_a 0.9850, loss_b nan, time 1315.61ms, mfu 8.12%
iter 1540: loss 0.9497, loss_a 0.9497, loss_b nan, time 1314.57ms, mfu 8.18%
iter 1550: loss 0.9684, loss_a 0.9684, loss_b nan, time 1313.97ms, mfu 8.24%
iter 1560: loss 0.9000, loss_a 0.9000, loss_b nan, time 1312.85ms, mfu 8.29%
iter 1570: loss 0.9424, loss_a 0.9424, loss_b nan, time 1313.08ms, mfu 8.34%
iter 1580: loss 0.9316, loss_a 0.9316, loss_b nan, time 1313.35ms, mfu 8.38%
iter 1590: loss 0.9320, loss_a 0.9320, loss_b nan, time 1314.03ms, mfu 8.42%
iter 1600: loss 0.9385, loss_a 0.9385, loss_b nan, time 1331.61ms, mfu 8.44%
iter 1610: loss 0.8787, loss_a 0.8787, loss_b nan, time 1318.00ms, mfu 8.47%
iter 1620: loss 0.8935, loss_a 0.8935, loss_b nan, time 1314.00ms, mfu 8.50%
iter 1630: loss 0.9376, loss_a 0.9376, loss_b nan, time 1313.25ms, mfu 8.52%
iter 1640: loss 0.9530, loss_a 0.9530, loss_b nan, time 1315.02ms, mfu 8.54%
iter 1650: loss 0.9323, loss_a 0.9323, loss_b nan, time 1313.55ms, mfu 8.57%
iter 1660: loss 0.9579, loss_a 0.9579, loss_b nan, time 1312.67ms, mfu 8.59%
iter 1670: loss 0.9098, loss_a 0.9098, loss_b nan, time 1312.44ms, mfu 8.60%
iter 1680: loss 0.9228, loss_a 0.9228, loss_b nan, time 1315.41ms, mfu 8.62%
iter 1690: loss 0.8993, loss_a 0.8993, loss_b nan, time 1313.36ms, mfu 8.63%
iter 1700: loss 0.9466, loss_a 0.9466, loss_b nan, time 1312.25ms, mfu 8.64%
iter 1710: loss 0.9747, loss_a 0.9747, loss_b nan, time 1314.19ms, mfu 8.65%
iter 1720: loss 0.9525, loss_a 0.9525, loss_b nan, time 1314.20ms, mfu 8.66%
iter 1730: loss 0.9616, loss_a 0.9616, loss_b nan, time 1313.69ms, mfu 8.67%
iter 1740: loss 0.9135, loss_a 0.9135, loss_b nan, time 1314.82ms, mfu 8.68%
iter 1750: loss 0.9103, loss_a 0.9103, loss_b nan, time 1313.18ms, mfu 8.69%
iter 1760: loss 0.9248, loss_a 0.9248, loss_b nan, time 1313.83ms, mfu 8.69%
iter 1770: loss 0.9797, loss_a 0.9797, loss_b nan, time 1314.36ms, mfu 8.70%
